namespace,package,version
nodelib,fs.stat,2.0.5
nodelib,fs.stat,^2.0.2
nodelib,fs.walk,1.2.4
nodelib,fs.walk,^1.2.3
nodelib,fs.walk,^1.2.8
nodelib,fs.walk,1.2.8
nodelib,fs.walk,^1.2.3
octokit,auth-token,2.5.0
octokit,auth-token,^2.4.4
octokit,core,3.6.0
octokit,core,^3.5.1
octokit,endpoint,6.0.12
octokit,endpoint,^6.0.1
octokit,graphql,^4.5.8
octokit,graphql,4.8.0
octokit,openapi-types,11.2.0
octokit,openapi-types,^11.2.0
octokit,plugin-paginate-rest,2.17.0
octokit,plugin-paginate-rest,^2.16.8
octokit,plugin-request-log,1.0.4
octokit,plugin-request-log,^1.0.4
octokit,plugin-rest-endpoint-methods,5.13.0
octokit,plugin-rest-endpoint-methods,^5.12.0
octokit,request,^5.6.3
octokit,request,^5.6.0
octokit,request,5.6.3
octokit,request-error,^2.0.5
octokit,request-error,2.1.0
octokit,request-error,^2.1.0
octokit,rest,18.12.0
octokit,rest,^18.0.14
octokit,types,^6.0.3
octokit,types,^6.0.3
octokit,types,^6.0.3
octokit,types,^6.0.3
octokit,types,^6.34.0
octokit,types,^6.34.0
octokit,types,^6.0.3
octokit,types,^6.16.1
octokit,types,6.34.0
opentelemetry,api,^1.0.1
opentelemetry,api,1.0.3
parcel,watcher,2.1.0
pkgjs,parseargs,0.11.0
pkgjs,parseargs,^0.11.0
playwright,browser-chromium,1.40.1
playwright,browser-chromium,^1.40.1
playwright,test,1.40.1
sindresorhus,is,4.6.0
sindresorhus,is,^4.0.0
sinonjs,commons,1.8.3
sinonjs,commons,^1.7.0
sinonjs,commons,^1.6.0
sinonjs,commons,^1.7.0
sinonjs,commons,^1.8.3
sinonjs,commons,^1.7.0
sinonjs,fake-timers,7.1.2
sinonjs,fake-timers,^7.1.0
sinonjs,fake-timers,^7.0.4
sinonjs,fake-timers,^8.1.0
sinonjs,fake-timers,8.1.0
sinonjs,samsam,6.0.2
sinonjs,samsam,^6.0.2
sinonjs,text-encoding,0.7.1
sinonjs,text-encoding,^0.7.1
swc,core,1.3.62
swc,core-darwin-arm64,1.3.62
swc,core-darwin-arm64,1.3.62
swc,core-darwin-x64,1.3.62
swc,core-darwin-x64,1.3.62
swc,core-linux-arm-gnueabihf,1.3.62
swc,core-linux-arm-gnueabihf,1.3.62
swc,core-linux-arm64-gnu,1.3.62
swc,core-linux-arm64-gnu,1.3.62
swc,core-linux-arm64-musl,1.3.62
swc,core-linux-arm64-musl,1.3.62
swc,core-linux-x64-gnu,1.3.62
swc,core-linux-x64-gnu,1.3.62
swc,core-linux-x64-musl,1.3.62
swc,core-linux-x64-musl,1.3.62
swc,core-win32-arm64-msvc,1.3.62
swc,core-win32-arm64-msvc,1.3.62
swc,core-win32-ia32-msvc,1.3.62
swc,core-win32-ia32-msvc,1.3.62
swc,core-win32-x64-msvc,1.3.62
swc,core-win32-x64-msvc,1.3.62
szmarczak,http-timer,4.0.6
szmarczak,http-timer,^4.0.5
tootallnate,once,3.0.0
tootallnate,once,^3.0.0
tootallnate,once,1.1.2
tootallnate,once,1
trysound,sax,0.2.0
trysound,sax,0.2.0
trysound,sax,0.2.0
ts-morph,common,0.20.0
ts-morph,common,~0.20.0
tsconfig,node10,1.0.9
tsconfig,node10,^1.0.7
tsconfig,node12,1.0.11
tsconfig,node12,^1.0.7
tsconfig,node14,1.0.3
tsconfig,node14,^1.0.0
tsconfig,node16,1.0.3
tsconfig,node16,^1.0.2
types,cacheable-request,6.0.3
types,cacheable-request,^6.0.1
types,color-name,1.1.1
types,color-name,^1.1.1
types,cookie,0.3.3
types,debug,4.1.9
types,eslint,*
types,eslint,7.2.13
types,eslint-scope,3.7.4
types,eslint-scope,^3.7.3
types,eslint-scope,^3.7.3
types,estree,*
types,estree,*
types,estree,0.0.49
types,estree,0.0.51
types,estree,^0.0.51
types,estree,^1.0.5
types,estree,1.0.5
types,expect,1.20.4
types,expect,^1.20.4
types,glob,7.1.3
types,glob,^7.1.1
types,gulp-svgmin,1.2.1
types,http-cache-semantics,*
types,http-cache-semantics,4.0.1
types,http-proxy-agent,2.0.1
types,istanbul-lib-coverage,2.0.6
types,istanbul-lib-coverage,^2.0.1
types,json-schema,*
types,json-schema,7.0.7
types,json-schema,7.0.11
types,json-schema,^7.0.8
types,json-schema,7.0.6
types,json-schema,^7.0.6
types,json-schema,7.0.9
types,json-schema,^7.0.9
types,json-schema,^7.0.12
types,json-schema,7.0.15
types,json-schema,7.0.9
types,json-schema,^7.0.9
types,json-schema,^7.0.6
types,json-schema,7.0.6
types,json-schema,^7.0.8
types,json-schema,^7.0.8
types,kerberos,1.1.2
types,keyv,^3.1.4
types,keyv,3.1.4
types,minimatch,*
types,minimatch,3.0.3
types,minimist,1.2.1
types,mocha,9.1.1
types,mocha,^10.0.2
types,mocha,10.0.2
types,ms,*
types,ms,0.7.32
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,20.11.24
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,*
types,node,*
types,node,4.2.22
types,node,*
types,node,4.2.22
types,node,^10.11.7
types,node,10.12.21
types,node,^20.9.0
types,node,4.2.22
types,node,*
types,node,*
types,node,4.2.22
types,node-fetch,^2.5.0
types,node-fetch,2.5.12
types,responselike,^1.0.0
types,responselike,1.0.0
types,responselike,^1.0.0
types,semver,7.5.8
types,semver,7.5.0
types,semver,^7.3.12
types,semver,^7.5.0
types,semver,^5.5.0
types,semver,5.5.0
types,sinon,*
types,sinon,10.0.2
types,sinon-test,2.4.2
types,svgo,^1
types,svgo,1.3.6
types,trusted-types,1.0.6
types,tunnel,^0.0.3
types,tunnel,0.0.3
types,vinyl,*
types,vinyl,2.0.12
types,vscode-notebook-renderer,1.72.0
types,webpack,5.28.5
types,wicg-file-system-access,2020.9.6
types,windows-foreground-love,0.3.0
types,winreg,1.2.30
types,yauzl,2.10.3
types,yauzl,^2.9.1
types,yauzl,2.9.1
types,yazl,2.4.2
typescript-eslint,eslint-plugin,6.21.0
typescript-eslint,experimental-utils,5.57.0
typescript-eslint,parser,6.21.0
typescript-eslint,scope-manager,6.21.0
typescript-eslint,scope-manager,5.57.0
typescript-eslint,scope-manager,5.57.0
typescript-eslint,scope-manager,6.21.0
typescript-eslint,scope-manager,6.21.0
typescript-eslint,scope-manager,6.21.0
typescript-eslint,type-utils,6.21.0
typescript-eslint,type-utils,6.21.0
typescript-eslint,types,5.57.0
typescript-eslint,types,5.57.0
typescript-eslint,types,5.57.0
typescript-eslint,types,5.57.0
typescript-eslint,types,5.57.0
typescript-eslint,types,6.21.0
typescript-eslint,types,6.21.0
typescript-eslint,types,6.21.0
typescript-eslint,types,6.21.0
typescript-eslint,types,6.21.0
typescript-eslint,types,6.21.0
typescript-eslint,typescript-estree,5.57.0
typescript-eslint,typescript-estree,5.57.0
typescript-eslint,typescript-estree,6.21.0
typescript-eslint,typescript-estree,6.21.0
typescript-eslint,typescript-estree,6.21.0
typescript-eslint,typescript-estree,6.21.0
typescript-eslint,utils,6.21.0
typescript-eslint,utils,5.57.0
typescript-eslint,utils,5.57.0
typescript-eslint,utils,6.21.0
